timestamp,timestamp_ms,method,scenario,est_x,est_y,gt_x,gt_y,error_m,raw_error_m,is_outlier
2026-04-01T21:28:40.009Z,1775078920009,raw,Tag in the middle - C3,5.4900,3.8600,4.8000,4.7700,1.1420,1.1420,0
2026-04-01T21:28:40.590Z,1775078920590,raw,Tag in the middle - C3,6.0600,2.9600,4.8000,4.7700,2.2054,2.2054,0
2026-04-01T21:28:41.158Z,1775078921158,kalman,Tag in the middle - C3,5.6000,3.7300,4.8000,4.7700,1.3121,1.3121,0
2026-04-01T21:28:41.741Z,1775078921741,kalman,Tag in the middle - C3,6.1800,2.7900,4.8000,4.7700,2.4135,2.4135,0
2026-04-01T21:28:42.316Z,1775078922316,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:28:42.894Z,1775078922894,gp,Tag in the middle - C3,3.3500,4.9700,4.8000,4.7700,1.4637,1.4637,0
2026-04-01T21:30:15.732Z,1775079015732,rssi,Tag in the middle - C3,5.4800,3.5000,4.8000,4.7700,1.4406,1.4406,0
2026-04-01T21:30:16.321Z,1775079016321,rssi,Tag in the middle - C3,6.0800,2.5400,4.8000,4.7700,2.5712,2.5712,0
2026-04-01T21:30:16.885Z,1775079016885,raw,Tag in the middle - C3,5.6300,3.2900,4.8000,4.7700,1.6969,1.6969,0
2026-04-01T21:30:17.457Z,1775079017457,raw,Tag in the middle - C3,6.2600,2.3600,4.8000,4.7700,2.8177,2.8177,0
2026-04-01T21:30:18.034Z,1775079018034,kalman,Tag in the middle - C3,5.5700,3.4000,4.8000,4.7700,1.5716,1.5716,0
2026-04-01T21:30:18.624Z,1775079018624,kalman,Tag in the middle - C3,6.1900,2.4700,4.8000,4.7700,2.6874,2.6874,0
2026-04-01T21:30:19.193Z,1775079019193,fp,Tag in the middle - C3,0.8620,6.9545,4.8000,4.7700,4.5033,4.5033,0
2026-04-01T21:30:19.759Z,1775079019759,gp,Tag in the middle - C3,2.6400,4.4300,4.8000,4.7700,2.1866,2.1866,0
2026-04-01T21:30:20.335Z,1775079020335,rssi,Tag in the middle - C3,5.4900,3.3900,4.8000,4.7700,1.5429,1.5429,0
2026-04-01T21:30:20.904Z,1775079020904,rssi,Tag in the middle - C3,6.1800,2.4200,4.8000,4.7700,2.7252,2.7252,0
2026-04-01T21:30:21.494Z,1775079021494,raw,Tag in the middle - C3,5.6300,3.2900,4.8000,4.7700,1.6969,1.6969,0
2026-04-01T21:30:22.068Z,1775079022068,raw,Tag in the middle - C3,6.2600,2.3600,4.8000,4.7700,2.8177,2.8177,0
2026-04-01T21:30:22.633Z,1775079022633,kalman,Tag in the middle - C3,5.5900,3.3600,4.8000,4.7700,1.6162,1.6162,0
2026-04-01T21:30:23.198Z,1775079023198,kalman,Tag in the middle - C3,6.2200,2.4300,4.8000,4.7700,2.7372,2.7372,0
2026-04-01T21:30:23.793Z,1775079023793,fp,Tag in the middle - C3,0.8620,6.9545,4.8000,4.7700,4.5033,4.5033,0
2026-04-01T21:30:24.373Z,1775079024373,gp,Tag in the middle - C3,2.6400,4.4300,4.8000,4.7700,2.1866,2.1866,0
